MLA,EWAQ_Capital,XX_MLA,01_CURR_ACC,EWAQ_GrossLoans,02_TIME_DEPOSIT,XX_TOTAL_LIQUID_ASSET,EWAQ_NPL,03_SAVINGS,XX_BAL_IN_OTHER_BANKS,EWAQ_NPLsNetOfProvisions,XX_BOT_BALANCE,LR,INF,10_FOREIGN_DEPOSITS_AND_BORROWINGS,EWAQ_NPLsNetOfProvisions2CoreCapital,F125_LIAB_TOTAL,F077_ASSETS_TOTAL,19_BANKS_ABROAD,DR
35.11700717,251000000000.0,34.02300351,709000000000.0,1110000000000.0,142000000000.0,648000000000.0,79811998741.0,383000000000.0,51620876174.0,73074865697.0,230000000000.0,16.50203521,3.189128728,310000000000.0,0.291599538,1660000000000.0,1950000000000.0,51620876174.0,6.716988209
74.60306097,15617377987.0,70.95609301,51510468412.0,49893776079.0,10738950832.0,72867323377.0,2244426503.0,25286640482.0,12896492437.0,1682870324.0,20601666672.0,15.07605884,9.75792912,2790685201.0,0.107734191,148000000000.0,168000000000.0,10265855564.0,5.977262049
20.59023402,21642952075.0,21.26169243,10054327867.0,94551288616.0,47021260454.0,20924961246.0,13515245454.0,23742772956.0,202468851.9,2309646188.0,9084456095.0,16.82258257,3.70485527,4916761691.0,0.105888522,110000000000.0,138000000000.0,21562998.58,6.88786831
38.81121463,24855010453.0,37.4187075,42416068578.0,163000000000.0,69364484793.0,100000000000.0,4308263817.0,12422280827.0,6067495522.0,3579043234.0,25996245982.0,15.26623366,18.58745596,113000000000.0,0.143655576,264000000000.0,292000000000.0,6067495522.0,7.997949291
29.60468125,19058640380.0,26.25880963,38940192054.0,196000000000.0,53219860589.0,101000000000.0,27504376127.0,3029962529.0,6103737532.0,20425719880.0,24734971899.0,15.96256436,5.234376642,190000000000.0,1.07171157,330000000000.0,357000000000.0,3344140323.0,9.598218253
2.237967864,45745791604.0,36.90670709,46358974852.0,269000000000.0,99177934421.0,139000000000.0,40157831889.0,31670964601.0,12639539373.0,36612393266.0,45920169354.0,16.26988214,5.965303675,105000000000.0,0.800390772,366000000000.0,429000000000.0,12639539373.0,9.066525749
25.0897333,48680846547.0,24.73781762,26161106862.0,318000000000.0,66958062263.0,103000000000.0,18455176987.0,14352654015.0,3856716205.0,11490550765.0,28513727419.0,17.73108927,5.429830708,184000000000.0,0.236008581,377000000000.0,432000000000.0,3391796920.0,10.398822
37.40707782,103000000000.0,36.47337763,243000000000.0,451000000000.0,85747523833.0,321000000000.0,19549051248.0,47955976515.0,194000000000.0,2165979418.0,76276859933.0,16.82258257,3.70485527,384000000000.0,0.020980807,818000000000.0,942000000000.0,194000000000.0,6.88786831
30.44466269,54250862907.0,30.23598006,55729571505.0,322000000000.0,112000000000.0,145000000000.0,30184607874.0,38699087589.0,13750476663.0,27242084344.0,32593305520.0,17.97953735,5.337780569,117000000000.0,0.502127376,453000000000.0,527000000000.0,13750476663.0,10.19104844
71.54529685,88993327304.0,75.98843912,330000000000.0,319000000000.0,178000000000.0,1440000000000.0,1.68e-13,0.0,1120000000000.0,-714514358.1,275000000000.0,16.49368981,3.102881673,1250000000000.0,-0.008038911,1460000000000.0,1560000000000.0,1090000000000.0,6.43159265
24.0199789,16027216399.0,28.68083247,1873606812.0,21863538836.0,3649743769.0,2494900975.0,780426455.5,1482436845.0,618375204.6,-553281428.1,913450547.7,15.74647015,4.780541216,0.0,-0.035006279,8323559734.0,26620592287.0,0.0,9.052247759
86.03166782,21614847022.0,50.71915637,18366881481.0,199000000000.0,124000000000.0,170000000000.0,16240159356.0,9228914363.0,10666577511.0,12770192434.0,34426368259.0,15.79930122,8.874017288,104000000000.0,0.590710805,348000000000.0,372000000000.0,10640334052.0,8.974309308
16.09247461,99990428436.0,15.36451216,76785410134.0,850000000000.0,194000000000.0,149000000000.0,32577515625.0,2858430088.0,-1585946044.0,24226451156.0,61915374680.0,17.58689816,5.650586326,559000000000.0,0.242265243,919000000000.0,1050000000000.0,-2717687179.0,10.32396834
20.60695457,49937237831.0,23.34121113,0.0,321000000000.0,130000000000.0,88671357274.0,17007353002.0,176000000000.0,7661253162.0,8417237932.0,17885206635.0,16.97857919,6.272615039,7513325457.0,0.168420481,369000000000.0,426000000000.0,548864874.0,9.96452021
43.73092877,7326666461.0,38.88994328,2942403742.0,14085879257.0,12041411972.0,9388039476.0,14885446717.0,1600690381.0,1021479205.0,12731675720.0,4502218036.0,14.53348069,6.778915525,0.0,1.227393892,21025684333.0,31703818548.0,1003342802.0,5.855281118
